original_id,aug_id,country_name,country_code,region_name,region_code,latitude,longitude,url,title,description,status,timestamp,timestamp_label,budget,budget_label,currency,sector,subsector,document_urls
,d924cfc2-70ca-4f38-a5c3-d941b0664fab,United States,USA,California,CA,,,http://www.ci.richmond.ca.us/viaverdiproject,Via Verdi Slope Stabilization Project,,,,,,,,,,
,6ac138f8-898c-41d3-8c03-bdab1259f9cf,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/4486/Travel-Safe-Richmond,Travel Safe Richmond,,,,,,,,,,
,bc30617f-51dc-4763-bdeb-16b4dd962074,United States,USA,California,CA,,,https://ca-richmond3.civicplus.com/3552/Chevron-Richmond-Refinery-Modernization-,Chevron Richmond Refinery Modernization Project,,,,,,,,,,
,dd116274-37f3-44fd-85f8-42b3e91fed1c,United States,USA,California,CA,,,http://www.ci.richmond.ca.us/3449/Making-Waves-Academy-Expansion-Project,Making Waves Academy Expansion Project,,,,,,,,,,
,f95eb340-bae1-4cee-806b-1272e016f939,United States,USA,California,CA,,,http://www.ci.richmond.ca.us/3977/Richmond-Country-Club-Residential-Projec,Richmond Country Club Residential Project,,,,,,,,,,
,47762350-30a1-4f1c-8c12-c54f06284c50,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/4175/47400/Duke-Realty-Light-Industrial-Warehouse?activeLiveTab=widgets,Duke Realty Light Industrial Warehouse Project,,,,,,,,,,
,c557a315-cc6c-491c-bbe2-bb6825b03d43,United States,USA,California,CA,,,http://www.ci.richmond.ca.us/4028/43644/Campus-Bay-Mixed-Use-Project?activeLiveTab=widgets,Campus Bay Mixed-Use Project,,,,,,,,,,
,3293e250-39d7-44da-8241-a5c37ae65ac4,United States,USA,California,CA,,,http://www.ci.richmond.ca.us/4113/Cherry-Blossom-Row-Project,Cherry Blossom Row Project,,,,,,,,,,
,4dd7c379-4969-4a38-a8e3-9c15e7158de6,United States,USA,California,CA,,,http://www.ci.richmond.ca.us/3999/Nevin-Plaza-Project,Nevin Plaza Project,,,,,,,,,,
,bd643034-c3e0-4896-a506-9a0350e136b8,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/3670/PowerPlant-Park-Project,PowerPlant Park Project,,,,,,,,,,
,3b381f86-a9d3-4d8d-9f5f-1454d4245d27,United States,USA,California,CA,,,https://ca-richmond3.civicplus.com/3481/Quarry-Residential-Project,Quarry Residential Project,,,,,,,,,,
,636a6b41-c1ed-43e1-ad9b-af9b8abdfddf,United States,USA,California,CA,,,http://www.ci.richmond.ca.us/3757/Point-Molate-Mixed-Use-Project,Point Molate Mixed Use Project,,,,,,,,,,
,c7624190-cacf-4e0c-83f5-eefedec81b7d,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/3660/37185/Miraflores-Residential-Development?activeLiveTab=widgets,Miraflores Residential Development,,,,,,,,,,
,c997181b-7034-4f05-b222-f8441cb1ae23,United States,USA,California,CA,,,http://www.ci.richmond.ca.us/index.aspx?NID=2939,Terminal One Project,,,,,,,,,,
,4b6c7cc2-5bdd-40b0-93e5-ae037c45188f,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/4337/50282/100-38th-Street-Project?activeLiveTab=widgets,100 38th Street Project,,,,,,,,,,
,f233c847-84f7-4b39-b14f-2c5de7f80421,United States,USA,California,CA,,,/2835/Central-Avenue-Housing,Central Avenue Housing,,,,,,,,,,
,f0a677f4-1667-47a8-baa8-76c6070fd695,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/4349/Brickyard-Cove-Residential-Project,Brickyard Cove Residential Project,,,,,,,,,,
,247c3614-e559-4350-9e2f-75e6ee328b8f,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/4646/57210/Homewood-Suites-Hotel?activeLiveTab=widgets,Homewood Suites Hotels,,,,,,,,,,
,2bb37846-ea31-4ae3-b2d5-bbf665b251a9,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/4013/Point-Molate-Beach-Shoreline-Restoration,Point Molate Beach Shoreline Restoration Project,,,,,,,,,,
,f9465457-2281-4dc2-9712-2d27dff8c3aa,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/4415/Portside-Commerce-Center,Portside Commerce Center,,,,,,,,,,
,dbfbb79d-202e-43bf-96f9-39c67b8c39e2,United States,USA,California,CA,,,https://www.ci.richmond.ca.us/4365/Raven-SR-Bioenergy-Project,Raven SR Bioenergy Project,,,,,,,,,,
,db5015a1-991d-41a6-9419-4d454e95ef80,United States,USA,California,CA,,,https://ca-richmond3.civicplus.com/3550/23rd-Street-Streetscape-Improvement-Plan,23rd Street Streetscape Improvement Plan,,,,,,,,,,
,d3b405a3-8e08-4c96-8a44-561a1facdf87,United States,USA,California,CA,,,https://hilltophorizon.com/,Hilltop Specific Plan,,,,,,,,,,
,ce2a0721-01db-473e-803f-f356e6739a99,United States,USA,California,CA,,,http://www.ccta.net/_resources/detail/36/2,I-80/Central Avenue Interchange Modification,,,,,,,,,,
,7073c9dd-4322-4da6-b5eb-3776cec9df3b,United States,USA,California,CA,,,/2965/RLC-FBC,Livable Corridors Form-Based Code (FBC),,,,,,,,,,
